"","paper_id","title","url","year","arxivId"
"1","ba7f13aba9a53a01d21d455534026e759a61452f","Evaluation of MHC class I peptide binding prediction servers: Applications for vaccine research","https://www.semanticscholar.org/paper/ba7f13aba9a53a01d21d455534026e759a61452f",2008,NA
"2","d388745f6bcb669b632df2d759652fe550968a58","Statistics on Anatomic Objects Reflecting Inter-Object Relations","https://www.semanticscholar.org/paper/d388745f6bcb669b632df2d759652fe550968a58",2006,NA
"3","20f5b210e25255bf8244a4196f060c9638ecbd06","A Nonparametric Statistical Approach to Clustering via Mode Identification","https://www.semanticscholar.org/paper/20f5b210e25255bf8244a4196f060c9638ecbd06",2007,NA
"4","5ff4c23899d8e12c8e9f1d43680b21134dd31ed6","On the Number of Modes of Finite Mixtures of Elliptical Distributions","https://www.semanticscholar.org/paper/5ff4c23899d8e12c8e9f1d43680b21134dd31ed6",2013,NA
"5","ab15c142edf349ae0402e0be82fca1458d8a886d","Kernels, Degrees of Freedom, and Power Properties of Quadratic Distance Goodness-of-Fit Tests","https://www.semanticscholar.org/paper/ab15c142edf349ae0402e0be82fca1458d8a886d",2014,NA
"6","6fdf5328ea065c846e25bdd8d74de1558574fe5d","Amino acid biophysical properties in the statistical prediction of peptide-MHC class I binding","https://www.semanticscholar.org/paper/6fdf5328ea065c846e25bdd8d74de1558574fe5d",2007,NA
"7","c9bfe5a7c1e15803f38b0001cc6c8e19da22f4db","A Computational Framework to Emulate the Human Perspective in Flow Cytometric Data Analysis","https://www.semanticscholar.org/paper/c9bfe5a7c1e15803f38b0001cc6c8e19da22f4db",2012,NA
"8","cc80db394f44ccc171f85e3207d1f90250dedc7a","SUPPLEMENT TO: FUNCTIONAL FACTOR ANALYSIS FOR PERIODIC REMOTE SENSING DATA By Chong Liu and Surajit Ray and Giles Hooker and Mark Friedl","https://www.semanticscholar.org/paper/cc80db394f44ccc171f85e3207d1f90250dedc7a",2011,NA
"9","b4c5a9a0b08eb84551f3bb1d3a52cd55becf9c50","Signaling local non-credibility in an automatic segmentation pipeline","https://www.semanticscholar.org/paper/b4c5a9a0b08eb84551f3bb1d3a52cd55becf9c50",2007,NA
"10","72be1582a2ad9f699967891afff4ad16abe7ee62","Model selection in high dimensions: a quadratic‐risk‐based approach","https://www.semanticscholar.org/paper/72be1582a2ad9f699967891afff4ad16abe7ee62",2006,"math/0611544"
"11","1df1d3243953da0d730a7d6d8ca382e58b523aec","On the upper bound of the number of modes of a multivariate normal mixture","https://www.semanticscholar.org/paper/1df1d3243953da0d730a7d6d8ca382e58b523aec",2012,NA
"12","78b0c252098aa244a62f7cabdb883d6acef1362d","A Comparison of Bayes Factor Approximation Methods Including Two New Methods","https://www.semanticscholar.org/paper/78b0c252098aa244a62f7cabdb883d6acef1362d",2012,NA
"13","c2e29046cfe5f5c6a3850828ca96b1ba62eff270","Top scoring pairs for feature selection in machine learning and applications to cancer outcome prediction","https://www.semanticscholar.org/paper/c2e29046cfe5f5c6a3850828ca96b1ba62eff270",2011,NA
"14","04d552dfa1061a7b7cee52ef7505bd01649e3c68","Quadratic distances on probabilities: A unified foundation","https://www.semanticscholar.org/paper/04d552dfa1061a7b7cee52ef7505bd01649e3c68",2008,"0804.0991"
"15","0719c11599d2431f8b531736531f2d3ad7d84990","Multivariate Modality Inference Using Gaussian Kernel","https://www.semanticscholar.org/paper/0719c11599d2431f8b531736531f2d3ad7d84990",2014,NA
"16","0d81ccc438b91d51f9d53c0a43b22e974152ea32","Improved power in multinomial goodness-of-fit tests","https://www.semanticscholar.org/paper/0d81ccc438b91d51f9d53c0a43b22e974152ea32",2002,NA
"17","a45bf81232a5c5a23c7608e8a974d8ed3c86bdf2","Parallel and Hierarchical Mode Association Clustering with an R Package Modalclust","https://www.semanticscholar.org/paper/a45bf81232a5c5a23c7608e8a974d8ed3c86bdf2",2014,NA
"18","5eb206d1b4f28e768333fea70c637a45cb10ff55","Functional principal component analysis of spatially correlated data","https://www.semanticscholar.org/paper/5eb206d1b4f28e768333fea70c637a45cb10ff55",2014,"1411.4681"
